time,x-acceleration,y-acceleration,z-acceleration
0.000,0.080,0.151,0.966
0.020,0.081,0.152,0.974
0.040,0.082,0.152,0.972
0.060,0.080,0.152,0.972
0.080,0.079,0.151,0.972
0.100,0.081,0.152,0.972
0.120,0.081,0.152,0.972
0.140,0.081,0.151,0.973
0.160,0.081,0.152,0.973
0.180,0.081,0.152,0.972
0.200,0.080,0.152,0.972
0.220,0.081,0.152,0.972
0.240,0.081,0.152,0.972
0.260,0.081,0.152,0.974
0.280,0.081,0.152,0.973
0.300,0.081,0.152,0.973
0.320,0.081,0.153,0.972
0.340,0.081,0.151,0.971
0.360,0.082,0.152,0.972
0.380,0.080,0.153,0.971
0.400,0.082,0.152,0.971
0.420,0.081,0.153,0.971
0.440,0.082,0.153,0.972
0.460,0.081,0.153,0.973
0.480,0.081,0.152,0.973
0.500,0.082,0.152,0.972
0.520,0.081,0.152,0.973
0.540,0.081,0.153,0.972
0.560,0.082,0.151,0.973
0.580,0.081,0.150,0.973
0.600,0.080,0.152,0.972
0.620,0.080,0.152,0.972
0.640,0.081,0.152,0.973
0.660,0.080,0.153,0.972
0.680,0.081,0.151,0.973
0.700,0.082,0.151,0.973
0.720,0.081,0.152,0.972
0.740,0.081,0.152,0.972
0.760,0.081,0.152,0.973
0.780,0.081,0.152,0.972
0.800,0.081,0.152,0.971
0.820,0.081,0.152,0.973
0.840,0.081,0.153,0.974
0.860,0.082,0.153,0.973
0.880,0.082,0.152,0.973
0.900,0.081,0.152,0.972
0.920,0.081,0.152,0.972
0.940,0.082,0.152,0.973
0.960,0.081,0.152,0.971
0.980,0.082,0.153,0.972
1.000,0.082,0.153,0.972
1.020,0.082,0.151,0.972
1.040,0.081,0.152,0.972
1.060,0.081,0.153,0.973
1.080,0.081,0.151,0.972
1.100,0.082,0.153,0.972
1.120,0.081,0.151,0.974
1.140,0.080,0.151,0.974
1.160,0.081,0.150,0.973
1.180,0.081,0.151,0.974
1.200,0.081,0.151,0.973
1.220,0.082,0.153,0.973
1.240,0.080,0.153,0.972
1.260,0.079,0.152,0.972
1.280,0.081,0.152,0.972
1.300,0.082,0.152,0.973
1.320,0.081,0.151,0.972
1.340,0.081,0.152,0.972
1.360,0.081,0.152,0.972
1.380,0.081,0.151,0.973
1.400,0.081,0.151,0.973
1.420,0.081,0.153,0.973
1.440,0.082,0.151,0.972
1.460,0.082,0.152,0.972
1.480,0.074,0.171,0.940
1.500,0.094,0.213,0.941
1.520,0.077,0.178,0.998
1.540,0.082,0.163,0.967
1.560,0.101,0.148,0.871
1.580,0.076,0.110,0.922
1.600,0.066,0.080,0.886
1.620,0.003,0.072,1.079
1.640,0.047,0.097,0.985
1.660,0.098,-0.024,0.950
1.680,0.066,-0.044,0.913
1.700,0.033,0.203,1.057
1.720,0.107,0.152,1.109
1.740,0.080,0.088,1.006
1.760,0.068,0.112,0.984
1.780,0.055,0.090,0.935
1.800,0.045,0.107,0.942
1.820,0.048,0.117,0.981
1.840,0.054,0.091,0.983
1.860,0.059,0.091,0.977
1.880,0.065,0.081,1.002
1.900,0.045,0.076,0.998
1.920,0.026,0.061,0.971
1.940,0.023,0.045,0.951
1.960,0.058,0.082,0.995
1.980,0.047,0.110,1.031
2.000,0.043,0.093,1.012
2.020,0.039,0.078,0.971
